user,sexo,uf,idade,dias,pviews,visitas,tempo_total,device,blog_cartola,cartola_status,horas_engajamento_futebol,horas_engajamento_outros_esportes,horas_engajamento_home
57246520,NA,Sao Paulo,,6,21,6,0.2866647221644719,pc_e_m,0.09312861111429002,cartola_free,0.09993749996026358,0.0,0.09359861108991835
57246762,NA,Sao Paulo,,2,7,2,0.6033427777555255,m_only,0.012863888872994316,cartola_free,0.5604047222269906,0.0,0.030074166655540465
57247432,M,Bahia,23.0,3,9,4,0.10541138887405395,pc_only,0.0,cartola_free,0.06544611109627618,0.0,0.03996527777777778
57247807,M,Ceara,16.0,4,11,4,0.30363861110475326,pc_e_m,0.0,cartola_free,0.15349305556880102,0.0125,0.05356555547979144
57247869,M,Sao Paulo,17.0,4,12,8,0.11931972225507101,m_only,0.094319722255071,cartola_free,0.0125,0.0,0.0
57249661,M,Rio de Janeiro,35.0,5,15,9,0.17203611108991834,m_only,0.0125,cartola_free,0.0625,0.0,0.08064722220102946
57249939,NA,Rio Grande do Sul,,5,78,11,1.9401047222481833,pc_e_m,0.08779472225242191,cartola_free,1.8164894444412656,0.0,0.0
57250640,M,Bahia,25.0,6,9,7,0.3442650000254313,m_only,0.3442650000254313,cartola_free,0.0,0.0,0.0
57251151,M,Rio de Janeiro,16.0,4,5,4,0.0519816666841507,m_only,0.0519816666841507,cartola_free,0.0,0.0,0.0
57254054,NA,Sao Paulo,,7,21,7,0.24718861116303337,pc_only,0.012992222242885166,cartola_free,0.2269216666618983,0.0,0.0
57254507,M,Sao Paulo,25.0,4,7,4,0.052308055559794106,pc_only,0.052308055559794106,cartola_free,0.0,0.0,0.0
57254527,NA,Minas Gerais,,2,2,2,0.025,m_only,0.025,cartola_free,0.0,0.0,0.0
57254798,M,Santa Catarina,32.0,5,10,5,1.8192811110946867,pc_only,0.03844694448841943,cartola_free,1.7671847222248713,0.0125,0.0011494443813959757
57255114,M,Sao Paulo,21.0,1,1,1,0.0125,m_only,0.0125,cartola_free,0.0,0.0,0.0
57255607,M,Rio de Janeiro,34.0,4,11,5,0.8077477777004242,m_only,0.0,cartola_free,0.7221619443760978,0.0,0.08558583332432641
57255704,M,Parana,34.0,25,81,42,1.9480747221575845,pc_e_m,0.0,cartola_free,0.08202972220049964,1.1140983333190282,0.6732966666751439
57256290,NA,Sao Paulo,,13,36,21,1.3643569445610046,m_only,0.07323111116886138,cartola_free,0.46408777780003024,0.6262152778440049,0.0125
57256533,M,Sao Paulo,11.0,1,2,1,0.012790000041325886,pc_only,0.012790000041325886,cartola_free,0.0,0.0,0.0
57257010,NA,Sao Paulo,,12,72,14,1.9379716667201783,pc_only,0.8585216665930219,cartola_free,0.614280833337042,0.0,0.4651691667901145
57258527,M,Sao Paulo,27.0,10,51,17,1.5456638888518015,pc_e_m,0.09691388885180155,cartola_free,0.808515555527475,0.025,0.45531222224235535
57260984,NA,Rio Grande do Sul,,11,29,19,0.6293758334053887,m_only,0.012754722237586976,cartola_free,0.28548305557833775,0.0125,0.293638055589464
57262569,M,Santa Catarina,39.0,5,21,5,0.6478769444094764,pc_only,0.6478769444094764,cartola_free,0.0,0.0,0.0
57263848,M,Sao Paulo,27.0,6,13,8,0.2613075000709958,pc_e_m,0.24880750007099575,cartola_pro,0.0125,0.0,0.0
